,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2343,MASTER,R182lCG3twgFsIP6lsKEf-58YfgivXv11IN80v8LzFRvYw,leozytos,301,471,451,False,False,True,False
2344,MASTER,tOKVnBbxt_nFdyftsYCqkigFT00n8eC4X6NB2Pd0-bngmQ,Vento,600,323,291,True,False,False,False
2345,MASTER,F1H9dWpRM2MWFav5QAnTVnsXCGCL22pEHD6GGcGaXkiFvPQ,Bryan O Cornor,290,250,217,False,False,True,False
2346,MASTER,kkfzNcbVcvwdS1Czmxs9Wt97q3mEfO-jFLLLtJmphbb9,violent pictures,329,172,156,False,False,False,False
2347,MASTER,_MSyvf1NcbjjHwrJt6B8s-hAS39VOecn0LvikqYvHjx-,Déko,248,506,493,True,False,False,False
2348,MASTER,X4Mu5gxMW1dqvoJpviTWrOmwpQLB23kwO19qmb0PngW1,TwTV Milowsss,513,404,370,False,False,True,False
2349,MASTER,Y8gfojxxOfzf85qUydq_vI01VjNtFh2A1M0KoXoTBFOoJw,1539,370,580,551,True,False,False,False
2350,MASTER,ZcqCJFVheSHSk_6948-DZq-OueWslZIP7J7N-E_IVI9Ycw,Greekzin,393,167,101,False,False,True,False
2351,MASTER,eFZFuC6Z7Th1KUBJsnXKW0Y0XOmW3xBjuKN80fFrPmkHXg,SivKiller,342,285,253,False,False,True,False
2352,MASTER,WShdgbWIOY3uSB9AJf-li83QKin_jHL_Lt8zp8ydktntTMA,Huejake,415,476,439,False,False,False,True
2353,MASTER,5XcyoKL0ExjIoFj5JBKfv2kHahn45pF7iBu52zmAAae5,ksiv,454,387,380,False,False,False,True
2354,MASTER,G8t7IUyyICLAypUkPdKqf0wFiDoP4NnXZqQAnXhogYaqIPE,DanielPsicologo,524,231,166,False,False,False,True
2355,MASTER,e16lbxQHk225kAc_JxMlY9Fvag1rZTT4oqVYpo_wWCnFtLI,Caüse,417,281,261,False,False,False,False
2356,MASTER,jYt7Dj7WokxP26stKnSgSjzGd13gFEhgmcf3272ThDJssUg,khaxiz,388,335,315,True,False,False,False
2357,MASTER,wo_6Vh_naAKmdmJtpTtX8icEn2aHDqRpZvGPS-KyhsWYNg,QuateIIa,512,265,225,False,False,False,False
