summonerName,accountId,summonerLevel,puuid
Kenith,qYa9jXQEBsE4DrkPTIWqq8KDwPfANtidwH2V0d0IBp8,180,VGNv-PQLhPZqlWKsGpeNKyW-Dx1ohy4glBlVxS_YbIF_AjCT3RvsdrCwT_BLF7Q2rGyVcZhJ815GSA
Isses,zQKmw7I5JWx-8UqvCD14-iEV5C8530QZLj6EvkpW0uI,264,KmSf88lbdEOj3JZy8stVADMFiwLVSy2dWV7TOLWOoqcUpXS013GZsTO9HIi4LoGtMjZXl1gB8IxnVQ
JapaXxLokoxX,5PzvYlVslKsAAVMqMrHupHm-98PYmxwykD1tYE4ycHnS4Pk,109,vcX570dNRwXp_tqqqk543D7_tCZbF_FRLnvnGWmq1p5iQXKjyY1C81JhTR4VAKU40U0iE6ybvhhtFw
PeopleFace,kUXH4BWy44TuL2MtM5Xxb0cAwRkdEj6xpwAiSMOaWFU,175,QQ96JhQFr7syc4_Nh_RJ3pH1YaQijw28CIlfRapZp_xJ-8v_jWqhlP3p_Bw_HBCJXOxayro8bX7luQ
Raposínho,zktBjIYTRfvofv6nbhfaC1b6b-HXJllRJFs2ZGzrk3I,383,WGXfeGd8bwQd5emMyRM9KLIakgTwoetwe3WpJgCeMvFNDhMTXsafkJqQN4XvB9nhL1r0kkSLXhNiow
PP Is Here,JnZQosNOLm7GRixf3rfsuA9xg54JCsPrbGEwWK-7rIt7,324,LfjWBRkGmyTkvN1UcC9vz7LOW6ULAAYAL0K2TRJ0aqf9Ju-tABXvAQ1yTpgs0DU27V6Xauc-bA4Mog
Wirth,j4CycOSpZpQ8L2mcSKrBrl-ezlPtuR1isgjmNb8sM44uARU,237,C_vz-tDmykuQL3SycrAov0tbv0qxk-ZEl4fyKt-bxLJTli4-a12QSQ5DoRUeetEwYhc9aSftwcYtPw
Amped YTB,p6ObwYt38OdbUwDv2oruPjUH0UKVdxL-in4He-ydAS8,188,SFMAMJNClSWH52Fn9FafH0tIgjMpdLzUvUM0mPp0gchzPqa629Mg6GSji82Ni-nU34q3F_FZhQefBQ
Majolo,ueVxtMVQZbFLGZcSMztht2CaG43aoEscGMGAaR2iveqS,395,JihPdCxpnAKdj0IkhALKCLQbmJRNc6XyIMeVVOF6Lz_8vIUnQlnLM8xJ2WNLM4yj71_ellaRxHepLA
Revex,O81MTk_5wq55rNSTw3KGsWZ-Xwh2-IGKmCMLwlSUf2hN,120,bJPOvn0CTWKe9IOyKTQVDwl4vb6qY_0JsVYCcKF__OU4hhRCdNHP2pzqbmdtFqsQeSOTTtJV9c4NxA
