accountId,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,summonerLevel,puuid,win_rate
xCfdHXwMP-3mGV4Kf1smIeRWrJu3YuL14X9wXX_Xwly3,DIAMONDI,hJ0stH7k5hs4dTv22548bujbpOSDBEy49CVk0cfOgnk8Xg,Leandro Menezes,51,52,34,False,False,False,False,162,Zjr3RzsgaxRzpy5FvbZ3O6e0xrOcbVeGa0B9CXgj8G3n6p7lUf_UAtRFR3CXN_kGdq7q0fjoYPheWQ,0.6046511627906976
Lh_8rJ04GptLR3kECY5dgZKsMcjcEmFpM7uLBqDh3aLU,DIAMONDI,RVCgQPl2RXaqHnQAIhWbDivaJ4ge3yeeWc8JhE7oRa5EEQ,Ryek,14,452,407,False,False,False,False,239,tjLPZznhTDRfHj31E0RhmrcRfq66gvDNlC5uAGfFy7DoO9uGeZ3KuNPj1O-eJ5Eyt8pt3przKejk6w,0.5261932479627474
KxhKtblhnRutqomOVuylZyhftSsnVrG2tPgu8QTZDO0t,DIAMONDI,46uhnP1ufETxNp2zabbyfYm8b5yFz_B6M8mn6TLI3Tgc0g,Kuiaratame,80,286,231,False,False,False,False,223,igWzOXeLhTZ16WXjNhKBDnpnVTzTX0hQwIqEtR5mODTAf9xemXkwjC2fYDjbzA70WiHg0JY5qb6B0w,0.5531914893617021
CMdkD7kh_4-_Ene-omVF07gQ4EXX2YKLeHY_T5GEin95GXI,DIAMONDI,8zTbHBh1g9fVmaYRueidb055IktNgSZWWT7lOLKMO6Ioj1I,aujsygfbheaklo,65,273,262,False,False,False,False,155,wA_l5GPlnJWJPkAmS-VqUtA9rujwdhjyW8iXpdURAaLz1xYfpIv6kSPGm7K87zJsHngduPABKIYYUg,0.5102803738317757
sHXxemA9yatUBGl1725moFhPptHIPCVoPYAhHwSLue_l,DIAMONDI,EtBIi40uVzPiCB2wmYcdbMvlPce_7ovrZtxULwY4mdbj0Q,Naekuz,75,180,158,False,False,False,False,258,G1oKqXJc0UZPNXkNlUar7ptNiDWcGXZzzifeTAduOwekr_rNUpJiNl9B2FrVlzt1NmtKJG_VQpiHvA,0.5325443786982249
tmooaasShvNZ5crTC8ChZrRVDq3Ezomz6S6QQUWmhhE5,DIAMONDI,6fdJ3f1f5PAPLHC-wHs9cdvAxcDCyWM5iqoaLSnYGprkvg,tika1,97,102,67,False,False,False,False,160,PLm37LCfbQIpDmqNzm1de63HGiol8jIX7k8RwZHhYYR_ifMa8hmxV9xfGTSnTTzGoCQDmSSQzRsosQ,0.6035502958579881
0Ep_UOtdQDPfJwkxFTe9f777Be0xJ0vEQaihTGg7v7NwuuU,DIAMONDI,pc7GDdYXGupAFB-GUVsmo5F1k9_hd9rkgPHFsrGGTAevPmg,erva autopilot,49,186,170,False,False,False,False,259,5ho9Gar_dmbfiDCYizTUuWfM0pe74brLsrPyowz6fV5fa3RAcdNCjRRazvle1QhJTBU62ZDQNpx0JQ,0.5224719101123596
ZLHJDMcfMR9DejhbcrZRG-I3mLGlqwn16GCzBJEUHQdz,DIAMONDI,9VLx3vDJkYTdNBBOnzpxgS7C55gE11ApGh__fq5gYJgJEQ,mottta,23,330,266,False,False,False,False,270,HKxWeUzuD-bddoHZw32Qd86wZCL63a_owOcjjKgmN4PQjqspBAefQBoSrrlM9CPNirFBuVqO6ozoUg,0.5536912751677853
V30XEh5Jn2BGOTSq1QKpneGOI0acKmUoqRHfdEwr6cb2,DIAMONDI,2ybXZ5tEwWHTBEi6fWIS9_U9AD0_2LVhgSsN8z4vIiYYUQ,GLX Siylph,0,252,243,False,False,False,False,299,R0ummm5RrMuqHVEm6Bm7VA8SKkXGWzICDDZFI-iWSCSurrBPntJgBdTcnvRcAII-bq-KEwvoCB1J7Q,0.509090909090909
Azok_1yKBQ1y7ssDljyFtmaS5Uw_gXUsg1SdRn2cEFzA,DIAMONDI,mn9uvLCeaL3ffLIbXKnRr_6ASheli40-78M6XJ3dezPsAg,Lehman Brothers,0,207,207,False,False,False,False,389,SG0dQDb8eDJQBjQ9RDdVuznPA6qc4aSyWGfy29DctE002x-qDFF7YuwMFCnKa41OXS9uiyRSadBigQ,0.5
